ID	count	% overlapping fragments on this gene	TE superfamily	NBPS	gene length	percOfGeneLengthOverlappingTEsuperfam	Products
ACHA01MRNA0003012	1	0.0017200454091988	L2	4089	5348	76.4584891548242	ABC transporter F family member 4; 
ACHA01MRNA0004948	3	0.00516013622759641	L2	2456	3310	74.1993957703928	Glucose-dependent insulinotropic receptor; 
ACHA01MRNA0038254	1	0.0017200454091988	L2	1373	1893	72.5303750660327	Afadin; 
ACHA01MRNA0020295	1	0.0017200454091988	L2	2672	3697	72.2748174195293	Phosphatidylinositol 4-phosphate 5-kinase type-1 beta; 
ACHA01MRNA0001505	1	0.0017200454091988	L2	1750	2428	72.0757825370675	Short transient receptor potential channel 1; 
ACHA01MRNA0031341	3	0.00516013622759641	L2	2244	3153	71.1703139866793	Glucose-dependent insulinotropic receptor; 
ACHA01MRNA0039980	1	0.0017200454091988	L2	1303	1848	70.508658008658	Vascular endothelial growth factor receptor 2; 
ACHA01MRNA0014315	1	0.0017200454091988	L2	881	1250	70.48	Cytoplasmic dynein 1 intermediate chain 2; 
ACHA01MRNA0031487	5	0.00860022704599401	L2	3550	5128	69.2277691107644	NA
ACHA01MRNA0026894	1	0.0017200454091988	L2	1524	2267	67.2254080282311	Somatostatin receptor type 4; 
ACHA01MRNA0012781	1	0.0017200454091988	L2	1212	1914	63.3228840125392	Urokinase-type plasminogen activator; 
ACHA01MRNA0033771	2	0.00344009081839761	L2	1638	2619	62.5429553264605	Ataxin-10; 
ACHA01MRNA0026772	2	0.00344009081839761	L2	1730	2772	62.4098124098124	Solute carrier family 22 member 3; 
ACHA01MRNA0000349	2	0.00344009081839761	L2	2541	4098	62.0058565153734	Fer-1-like protein 4; 
ACHA01MRNA0012129	1	0.0017200454091988	L2	914	1484	61.5902964959569	Glycosylphosphatidylinositol anchor attachment 1 protein; 
ACHA01MRNA0022457	6	0.0103202724551928	L2	8951	14637	61.1532417845187	Calcineurin subunit B type 1; 
ACHA01MRNA0035824	1	0.0017200454091988	L2	1553	2540	61.1417322834646	Aquaporin-7; 
ACHA01MRNA0009404	2	0.00344009081839761	L2	4262	7066	60.3170110387772	Receptor-type tyrosine-protein phosphatase U; 
ACHA01MRNA0008919	3	0.00516013622759641	L2	1865	3150	59.2063492063492	OX-2 membrane glycoprotein; 
ACHA01MRNA0025135	3	0.00516013622759641	L2	3264	5573	58.5680961780011	Formin-like protein 1; 
ACHA01MRNA0010349	2	0.00344009081839761	L2	1634	2810	58.1494661921708	Rho guanine nucleotide exchange factor 7; 
ACHA01MRNA0008264	1	0.0017200454091988	L2	1406	2423	58.027238959967	Actin-regulating kinase PRK1; 
ACHA01MRNA0014805	11	0.0189204995011868	L2	2272	3917	58.0035741639009	Claudin-6; 
ACHA01MRNA0006025	1	0.0017200454091988	L2	1404	2423	57.9446966570367	Actin-regulating kinase PRK1; 
ACHA01MRNA0027004	2	0.00344009081839761	L2	1164	2011	57.8816509199403	Thrombopoietin; 
ACHA01MRNA0027266	1	0.0017200454091988	L2	1166	2016	57.8373015873016	Secreted frizzled-related protein 3; 
ACHA01MRNA0000775	3	0.00516013622759641	L2	2484	4368	56.8681318681319	Fer-1-like protein 4; 
