ID	count	% overlapping fragments on this gene	TE superfamily	NBPS	gene length	percOfGeneLengthOverlappingTEsuperfam	Products
ACHA01MRNA0036063	123	0.157462170673631	L2	9165	3444	266.114982578397	Dynein heavy chain; 
ACHA01MRNA0012395	17	0.0217630642394449	L2	4509	1855	243.072776280323	Extracellular serine/threonine protein kinase FAM20C; 
ACHA01MRNA0025914	36	0.0460864889776481	L2	2124	911	233.150384193194	Dynein heavy chain; 
ACHA01MRNA0017219	29	0.0371252272319943	L2	21376	9220	231.843817787419	Protein boule-like; 
ACHA01MRNA0004041	79	0.10113423970095	L2	4661	2017	231.085770946951	Dynein heavy chain; 
ACHA01MRNA0035029	144	0.184345955910592	L2	8376	3638	230.23639362287	Dynein heavy chain; 
ACHA01MRNA0025095	29	0.0371252272319943	L2	1711	848	201.768867924528	Probable GPI-anchored adhesin-like protein PGA18; 
ACHA01MRNA0025915	25	0.0320045062344778	L2	1497	747	200.401606425703	Glucose-dependent insulinotropic receptor; 
ACHA01MRNA0027303	48	0.0614486519701974	L2	2832	1436	197.214484679666	Glucose-dependent insulinotropic receptor; 
ACHA01MRNA0004950	313	0.400696418055662	L2	20880	10727	194.649016500419	Glucose-dependent insulinotropic receptor; 
ACHA01MRNA0025127	27	0.034564866733236	L2	1593	821	194.031668696711	Dynein heavy chain; 
ACHA01MRNA0015173	49	0.0627288322195765	L2	2976	1541	193.121349772875	Dynein heavy chain; 
ACHA01MRNA0027302	19	0.0243234247382031	L2	1121	601	186.522462562396	Glucose-dependent insulinotropic receptor; 
ACHA01MRNA0019579	89	0.113936042194741	L2	5427	2915	186.174957118353	Glucose-dependent insulinotropic receptor; 
ACHA01MRNA0028133	17	0.0217630642394449	L2	992	535	185.420560747664	Integumentary mucin B.1; 
ACHA01MRNA0009049	9	0.011521622244412	L2	5509	2977	185.052065838092	Adhesion G-protein coupled receptor G1; 
ACHA01MRNA0008883	75	0.0960135187034334	L2	40996	22222	184.483844838448	Serine/threonine-protein kinase A-Raf; 
ACHA01MRNA0033699	17	0.0217630642394449	L2	10901	6067	179.676940827427	DNA replication licensing factor MCM5; 
ACHA01MRNA0039840	32	0.0409657679801316	L2	1888	1055	178.957345971564	Dynein heavy chain; 
ACHA01MRNA0016770	73	0.0934531582046752	L2	6012	3401	176.771537783005	Multidrug resistance-associated protein 5; 
ACHA01MRNA0004949	21	0.0268837852369614	L2	1557	905	172.044198895028	Integumentary mucin B.1; 
ACHA01MRNA0035030	33	0.0422459482295107	L2	1940	1155	167.965367965368	Probable GPI-anchored adhesin-like protein PGA18; 
ACHA01MRNA0025129	15	0.0192027037406867	L2	921	552	166.847826086957	Glucose-dependent insulinotropic receptor; 
ACHA01MRNA0025128	23	0.0294441457357196	L2	1393	840	165.833333333333	Dynein heavy chain; 
ACHA01MRNA0027266	15	0.0192027037406867	L2	3339	2016	165.625	Secreted frizzled-related protein 3; 
ACHA01MRNA0004948	73	0.0934531582046752	L2	5228	3310	157.945619335347	Glucose-dependent insulinotropic receptor; 
ACHA01MRNA0035532	16	0.0204828839900658	L2	944	612	154.248366013072	Dynein heavy chain; 
ACHA01MRNA0040037	28	0.0358450469826152	L2	7304	4765	153.284365162644	Gamma-aminobutyric acid receptor subunit beta-2; 
ACHA01MRNA0036064	34	0.0435261284788898	L2	2055	1344	152.901785714286	Glucose-dependent insulinotropic receptor; 
ACHA01MRNA0010438	26	0.0332846864838569	L2	6932	4634	149.589987052223	Thioredoxin-interacting protein; 
ACHA01MRNA0015894	6	0.00768108149627468	L2	5954	4080	145.93137254902	ER degradation-enhancing alpha-mannosidase-like protein 2; 
ACHA01MRNA0005047	17	0.0217630642394449	L2	3465	2604	133.064516129032	Proprotein convertase subtilisin/kexin type 4; 
ACHA01MRNA0009243	51	0.0652891927183347	L2	10172	8837	115.106936743239	Solute carrier family 46 member 3; 
ACHA01MRNA0023003	7	0.00896126174565379	L2	6105	5332	114.497374343586	Cactin; 
ACHA01MRNA0019426	10	0.0128018024937911	L2	7565	6665	113.503375843961	NA
ACHA01MRNA0025373	11	0.0140819827431702	L2	11059	9962	111.011845011042	Mitogen-activated protein kinase kinase kinase kinase 2; 
ACHA01MRNA0030435	18	0.023043244488824	L2	1062	969	109.597523219814	Probable GPI-anchored adhesin-like protein PGA18; 
ACHA01MRNA0032549	10	0.0128018024937911	L2	8005	7395	108.248816768087	Leucine-rich repeat serine/threonine-protein kinase 2; 
ACHA01MRNA0000393	63	0.0806513557108841	L2	16927	15757	107.42527130799	DENN domain-containing protein 4B; 
ACHA01MRNA0005445	72	0.0921729779552961	L2	8521	8033	106.074940868916	TATA box-binding protein-associated factor RNA polymerase I subunit B; 
ACHA01MRNA0007630	19	0.0243234247382031	L2	1124	1089	103.213957759412	Dynein heavy chain; 
