ID	count	% overlapping fragments on this gene	TE superfamily	NBPS	gene length	percOfGeneLengthOverlappingTEsuperfam	Products
ACHA01MRNA0002910	2	0.00505331244630856	hAT-Charlie	1256	1906	65.897166841553	Serine/threonine-protein kinase PAK 2; 
ACHA01MRNA0026720	4	0.0101066248926171	hAT-Charlie	2872	4997	57.4744846908145	60S ribosomal protein L19; 
ACHA01MRNA0007217	29	0.0732730304714741	hAT-Charlie	2333	4307	54.1676340840492	Putative nuclease HARBI1; 
ACHA01MRNA0025313	1	0.00252665622315428	hAT-Charlie	1053	1952	53.9446721311475	Glutathione peroxidase 1; 
ACHA01MRNA0029278	2	0.00505331244630856	hAT-Charlie	1376	2587	53.1890220332431	Serine/threonine-protein kinase pak-2; 
ACHA01MRNA0030644	1	0.00252665622315428	hAT-Charlie	1096	2182	50.2291475710357	Uncharacterized protein C09G1.4; 
ACHA01MRNA0003147	1	0.00252665622315428	hAT-Charlie	1008	2039	49.435998038254	Phospholipid-transporting ATPase FetA; 
ACHA01MRNA0034002	1	0.00252665622315428	hAT-Charlie	661	1360	48.6029411764706	RNA-binding protein 26; 
ACHA01MRNA0000980	5	0.0126332811157714	hAT-Charlie	2951	6073	48.5921290959987	Pericentriolar material 1 protein; 
ACHA01MRNA0024788	1	0.00252665622315428	hAT-Charlie	660	1393	47.3797559224695	Solute carrier family 12 member 8; 
ACHA01MRNA0009751	1	0.00252665622315428	hAT-Charlie	624	1318	47.3444613050076	NA
ACHA01MRNA0006029	28	0.0707463742483198	hAT-Charlie	2254	4767	47.2834067547724	Putative nuclease HARBI1; 
ACHA01MRNA0000786	2	0.00505331244630856	hAT-Charlie	3443	7328	46.9841703056769	Peroxiredoxin-2D; 
ACHA01MRNA0020256	1	0.00252665622315428	hAT-Charlie	561	1209	46.4019851116625	Caltractin; 
ACHA01MRNA0040152	2	0.00505331244630856	hAT-Charlie	1130	2570	43.9688715953307	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1A; 
ACHA01MRNA0031182	2	0.00505331244630856	hAT-Charlie	945	2150	43.953488372093	Probable hexose phosphate transport protein; 
ACHA01MRNA0032264	2	0.00505331244630856	hAT-Charlie	668	1534	43.5462842242503	RNA-binding protein 26; 
ACHA01MRNA0035644	2	0.00505331244630856	hAT-Charlie	986	2267	43.4936038817821	Leucine-rich glioma-inactivated protein 1; 
ACHA01MRNA0021955	1	0.00252665622315428	hAT-Charlie	1070	2534	42.2257300710339	Formin-binding protein 1-like; 
ACHA01MRNA0012929	2	0.00505331244630856	hAT-Charlie	1367	3290	41.5501519756839	Cadherin-2; 
ACHA01MRNA0036026	2	0.00505331244630856	hAT-Charlie	352	858	41.025641025641	Sorting nexin-7; 
ACHA01MRNA0029408	1	0.00252665622315428	hAT-Charlie	669	1636	40.8924205378973	Myosin-11; 
ACHA01MRNA0018625	3	0.00757996866946283	hAT-Charlie	1658	4084	40.5974534769833	Aminopeptidase N; 
ACHA01MRNA0016329	1	0.00252665622315428	hAT-Charlie	5096	12623	40.3707518022657	Gamma-aminobutyric acid receptor subunit beta-1; 
ACHA01MRNA0033319	1	0.00252665622315428	hAT-Charlie	357	892	40.0224215246637	Calumenin; 
ACHA01MRNA0012020	3	0.00757996866946283	hAT-Charlie	1306	3285	39.7564687975647	FH1/FH2 domain-containing protein 1; 
ACHA01MRNA0016312	2	0.00505331244630856	hAT-Charlie	1318	3343	39.4256655698474	Protein hinderin; 
ACHA01MRNA0011490	1	0.00252665622315428	hAT-Charlie	648	1645	39.3920972644377	NA
ACHA01MRNA0038188	5	0.0126332811157714	hAT-Charlie	2229	5752	38.7517385257302	NA
ACHA01MRNA0027968	1	0.00252665622315428	hAT-Charlie	1192	3095	38.513731825525	Uridine-cytidine kinase 2-A; 
ACHA01MRNA0037360	5	0.0126332811157714	hAT-Charlie	2049	5327	38.4644265064764	Heparanase; 
ACHA01MRNA0003485	1	0.00252665622315428	hAT-Charlie	566	1488	38.0376344086022	Epithelial membrane protein 1; 
ACHA01MRNA0027402	1	0.00252665622315428	hAT-Charlie	1259	3322	37.8988561107766	Collagen alpha-1(XII) chain; 
ACHA01MRNA0038697	1	0.00252665622315428	hAT-Charlie	1175	3107	37.81783070486	E3 ubiquitin-protein ligase RING2-B; 
ACHA01MRNA0007186	1	0.00252665622315428	hAT-Charlie	1006	2671	37.6637963309622	G2/M phase-specific E3 ubiquitin-protein ligase; 
ACHA01MRNA0012871	1	0.00252665622315428	hAT-Charlie	1006	2672	37.6497005988024	G2/M phase-specific E3 ubiquitin-protein ligase; 
ACHA01MRNA0025045	2	0.00505331244630856	hAT-Charlie	2013	5349	37.633202467751	Protein angel homolog 1; 
ACHA01MRNA0001082	3	0.00757996866946283	hAT-Charlie	787	2093	37.6015289058767	Kazrin; 
ACHA01MRNA0000443	1	0.00252665622315428	hAT-Charlie	1084	2899	37.3922042083477	NA
ACHA01MRNA0017842	1	0.00252665622315428	hAT-Charlie	1269	3425	37.0510948905109	Collagen alpha-1(XII) chain; 
ACHA01MRNA0010719	1	0.00252665622315428	hAT-Charlie	682	1842	37.0249728555917	Collagen alpha-1(I) chain; 
ACHA01MRNA0019139	3	0.00757996866946283	hAT-Charlie	3247	8890	36.5241844769404	Armadillo repeat-containing protein 6 homolog; 
ACHA01MRNA0000764	2	0.00505331244630856	hAT-Charlie	2492	6830	36.4860907759883	Thioredoxin; 
ACHA01MRNA0008588	3	0.00757996866946283	hAT-Charlie	737	2022	36.4490603363007	Kazrin; 
ACHA01MRNA0034911	2	0.00505331244630856	hAT-Charlie	1269	3497	36.2882470689162	Probable E3 ubiquitin-protein ligase HERC4; 
ACHA01MRNA0014960	1	0.00252665622315428	hAT-Charlie	1187	3297	36.0024264482863	Glycogenin-1; 
ACHA01MRNA0021442	4	0.0101066248926171	hAT-Charlie	2250	6250	36	Serine/threonine-protein kinase 38-like; 
ACHA01MRNA0001435	5	0.0126332811157714	hAT-Charlie	757	2115	35.7919621749409	Salivary glue protein Sgs-4; 
ACHA01MRNA0026086	1	0.00252665622315428	hAT-Charlie	638	1804	35.3658536585366	Ras-related protein Rab-27B; 
ACHA01MRNA0001736	2	0.00505331244630856	hAT-Charlie	586	1660	35.3012048192771	Protein Wnt-8b; 
ACHA01MRNA0036926	5	0.0126332811157714	hAT-Charlie	2182	6192	35.2390180878553	Carbonic anhydrase 2; 
ACHA01MRNA0033300	1	0.00252665622315428	hAT-Charlie	610	1733	35.199076745528	IQ motif and SEC7 domain-containing protein 1; 
ACHA01MRNA0014019	1	0.00252665622315428	hAT-Charlie	1035	2977	34.766543500168	Trophoblast glycoprotein-like; 
ACHA01MRNA0010204	1	0.00252665622315428	hAT-Charlie	640	1843	34.7259902333152	NA
ACHA01MRNA0028433	2	0.00505331244630856	hAT-Charlie	575	1657	34.7012673506337	Protein Wnt-8b; 
ACHA01MRNA0028237	2	0.00505331244630856	hAT-Charlie	1261	3638	34.6619021440352	Coagulation factor V; 
