ID	count	% overlapping fragments on this gene	TE superfamily	NBPS	gene length	percOfGeneLengthOverlappingTEsuperfam	Products
ACHA01MRNA0028996	47	0.0947389639185648	hAT-Ac	2189	1817	120.473307649972	Cell wall protein DAN4; 
ACHA01MRNA0006181	35	0.0705502922797823	hAT-Ac	2776	3394	81.7913965822039	Protein N-lysine methyltransferase METTL21A; 
ACHA01MRNA0034361	17	0.0342672848216085	hAT-Ac	8316	10568	78.6903860711582	U1 small nuclear ribonucleoprotein 70 kDa homolog; 
ACHA01MRNA0038803	11	0.0221729490022173	hAT-Ac	1172	1752	66.8949771689498	NA
ACHA01MRNA0016831	6	0.0120943358193913	hAT-Ac	2092	3461	60.4449581045941	Ras-like protein family member 11B; 
ACHA01MRNA0032633	6	0.0120943358193913	hAT-Ac	2088	3463	60.2945423043604	Ras-like protein family member 11B; 
ACHA01MRNA0027402	3	0.00604716790969563	hAT-Ac	1872	3322	56.3515954244431	Collagen alpha-1(XII) chain; 
ACHA01MRNA0013152	3	0.00604716790969563	hAT-Ac	821	1459	56.2714187799863	Arylsulfatase I; 
ACHA01MRNA0012987	1	0.00201572263656521	hAT-Ac	619	1101	56.2216167120799	Probable ATP-dependent RNA helicase DDX56; 
ACHA01MRNA0031620	9	0.0181415037290869	hAT-Ac	2156	3837	56.1897315611155	Uncharacterized protein in mutB 3'region; 
ACHA01MRNA0017842	3	0.00604716790969563	hAT-Ac	1892	3425	55.2408759124088	Collagen alpha-1(XII) chain; 
ACHA01MRNA0018980	24	0.048377343277565	hAT-Ac	5375	9838	54.6350884326083	Zinc finger protein 503; 
ACHA01MRNA0004623	14	0.0282201169119129	hAT-Ac	1617	3047	53.0685920577617	Mitogen-activated protein kinase 4; 
ACHA01MRNA0016451	24	0.048377343277565	hAT-Ac	2917	5599	52.098589033756	Ribosomal protein S6 kinase-like 1; 
ACHA01MRNA0010494	5	0.010078613182826	hAT-Ac	1538	3095	49.6930533117932	Zinc finger MIZ domain-containing protein 2; 
ACHA01MRNA0007613	13	0.0262043942753477	hAT-Ac	1102	2228	49.4614003590664	Protein N-lysine methyltransferase METTL21A; 
ACHA01MRNA0031694	1	0.00201572263656521	hAT-Ac	791	1627	48.6170866625691	Moesin; 
ACHA01MRNA0040869	27	0.0544245111872606	hAT-Ac	10702	22143	48.3313010883801	Ubiquitin carboxyl-terminal hydrolase 2; 
ACHA01MRNA0009977	2	0.00403144527313042	hAT-Ac	1096	2394	45.78111946533	Polyphosphoinositide phosphatase; 
ACHA01MRNA0006912	4	0.00806289054626083	hAT-Ac	1713	3770	45.4376657824934	Juvenile hormone epoxide hydrolase; 
ACHA01MRNA0001176	6	0.0120943358193913	hAT-Ac	2980	6742	44.2005339661821	Adapter molecule Crk; 
ACHA01MRNA0015844	3	0.00604716790969563	hAT-Ac	1053	2426	43.4047815333883	MLN64 N-terminal domain homolog; 
ACHA01MRNA0010043	1	0.00201572263656521	hAT-Ac	386	905	42.6519337016575	Neurocalcin-delta; 
ACHA01MRNA0039977	6	0.0120943358193913	hAT-Ac	1085	2572	42.1850699844479	ADP-ribosylation factor 3; 
ACHA01MRNA0039282	103	0.207619431566216	hAT-Ac	14435	34427	41.9292996775786	Receptor-type tyrosine-protein phosphatase O; 
ACHA01MRNA0026959	4	0.00806289054626083	hAT-Ac	1325	3179	41.6797735136835	Uncharacterized tRNA-dihydrouridine synthase-like protein C45G9.2; 
ACHA01MRNA0024305	1	0.00201572263656521	hAT-Ac	810	1952	41.4959016393443	Transmembrane and ubiquitin-like domain-containing protein 1; 
ACHA01MRNA0025131	1	0.00201572263656521	hAT-Ac	437	1055	41.4218009478673	Substance-K receptor; 
ACHA01MRNA0000456	2	0.00403144527313042	hAT-Ac	865	2090	41.3875598086124	Inactive tyrosine-protein kinase kin-32; 
ACHA01MRNA0039062	1	0.00201572263656521	hAT-Ac	805	1947	41.3456599897278	Transmembrane and ubiquitin-like domain-containing protein 1; 
ACHA01MRNA0002106	5	0.010078613182826	hAT-Ac	3027	7441	40.6800161268647	Alpha-L-fucosidase; 
ACHA01MRNA0009453	1	0.00201572263656521	hAT-Ac	835	2059	40.5536668285576	Transmembrane protein 236; 
ACHA01MRNA0017745	2	0.00403144527313042	hAT-Ac	1007	2507	40.1675309134424	NA
ACHA01MRNA0023119	9	0.0181415037290869	hAT-Ac	1464	3672	39.8692810457516	Protein arginine N-methyltransferase 3; 
ACHA01MRNA0004029	2	0.00403144527313042	hAT-Ac	793	2004	39.5708582834331	BTB/POZ domain-containing protein kctd15; 
ACHA01MRNA0036942	2	0.00403144527313042	hAT-Ac	559	1414	39.5332390381895	Guanine nucleotide-binding protein alpha-12 subunit; 
ACHA01MRNA0013351	4	0.00806289054626083	hAT-Ac	1274	3264	39.031862745098	Uncharacterized tRNA-dihydrouridine synthase-like protein C45G9.2; 
ACHA01MRNA0029598	10	0.0201572263656521	hAT-Ac	1906	4896	38.9297385620915	Lymphocyte-specific helicase; 
ACHA01MRNA0037641	10	0.0201572263656521	hAT-Ac	1920	4932	38.9294403892944	Sorting nexin-2; 
ACHA01MRNA0040903	8	0.0161257810925217	hAT-Ac	2712	7055	38.4408221119773	Signal transducer and activator of transcription 5B; 
ACHA01MRNA0030574	1	0.00201572263656521	hAT-Ac	771	2011	38.3391347588265	CDK5RAP1-like protein; 
ACHA01MRNA0001881	1	0.00201572263656521	hAT-Ac	276	720	38.3333333333333	Protein S100-A6; 
ACHA01MRNA0020093	7	0.0141100584559565	hAT-Ac	3969	10380	38.2369942196532	Nucleotide-binding oligomerization domain-containing protein 2; 
ACHA01MRNA0012206	9	0.0181415037290869	hAT-Ac	3111	8152	38.1624141315015	H(+)/Cl(-) exchange transporter 5; 
ACHA01MRNA0021651	3	0.00604716790969563	hAT-Ac	553	1455	38.0068728522337	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex; 
ACHA01MRNA0018757	20	0.0403144527313042	hAT-Ac	3023	7956	37.9964806435395	Tubulin polyglutamylase ttll6; 
ACHA01MRNA0031616	1	0.00201572263656521	hAT-Ac	620	1657	37.4170187085094	Zinc finger protein 42 homolog; 
ACHA01MRNA0016088	1	0.00201572263656521	hAT-Ac	761	2038	37.3405299313052	Oxidative stress-induced growth inhibitor 1; 
ACHA01MRNA0031808	3	0.00604716790969563	hAT-Ac	489	1317	37.129840546697	Dedicator of cytokinesis protein 11; 
ACHA01MRNA0028824	1	0.00201572263656521	hAT-Ac	1366	3694	36.978884677856	High choriolytic enzyme 1; 
ACHA01MRNA0007409	2	0.00403144527313042	hAT-Ac	844	2290	36.8558951965066	Mediator of RNA polymerase II transcription subunit 4; 
ACHA01MRNA0003634	5	0.010078613182826	hAT-Ac	2119	5764	36.7626648160999	Centrosomal protein of 120 kDa; 
ACHA01MRNA0031642	1	0.00201572263656521	hAT-Ac	742	2019	36.7508667657256	Transmembrane protein 53; 
ACHA01MRNA0026719	5	0.010078613182826	hAT-Ac	1964	5360	36.6417910447761	Contactin-6; 
ACHA01MRNA0000547	8	0.0161257810925217	hAT-Ac	1367	3743	36.5215068127171	Pleckstrin homology domain-containing family G member 3; 
ACHA01MRNA0035914	4	0.00806289054626083	hAT-Ac	1399	3848	36.3565488565489	Dual specificity mitogen-activated protein kinase kinase 6; 
