ID	count	% overlapping fragments on this gene	TE superfamily	NBPS	gene length	percOfGeneLengthOverlappingTEsuperfam	Products
ACHA01MRNA0003220	1	0.0020271639975674	TcMar-Tc1	2446	2580	94.8062015503876	Probable ubiquitin-conjugating enzyme E2 R521; 
ACHA01MRNA0012924	1	0.0020271639975674	TcMar-Tc1	711	830	85.6626506024096	Serine/arginine repetitive matrix protein 5; 
ACHA01MRNA0024822	1	0.0020271639975674	TcMar-Tc1	666	806	82.6302729528536	Ribosome-binding protein 1; 
ACHA01MRNA0014943	3	0.00608149199270221	TcMar-Tc1	480	610	78.6885245901639	S-antigen protein; 
ACHA01MRNA0019557	1	0.0020271639975674	TcMar-Tc1	437	562	77.7580071174377	Centromere-associated protein E; 
ACHA01MRNA0008007	4	0.00810865599026961	TcMar-Tc1	727	1008	72.1230158730159	Small proline-rich protein 3; 
ACHA01MRNA0033689	1	0.0020271639975674	TcMar-Tc1	1791	2689	66.6046857567869	Gamma-aminobutyric acid receptor-associated protein; 
ACHA01MRNA0005717	11	0.0222988039732414	TcMar-Tc1	1115	1755	63.5327635327635	Uncharacterized protein C3orf30; 
ACHA01MRNA0040239	8	0.0162173119805392	TcMar-Tc1	9022	14658	61.5500068222131	Negative elongation factor B; 
ACHA01MRNA0020923	1	0.0020271639975674	TcMar-Tc1	569	936	60.7905982905983	Antho-RFamide neuropeptides type 2; 
ACHA01MRNA0000266	1	0.0020271639975674	TcMar-Tc1	1762	2908	60.5914718019257	Neurofibromin; 
ACHA01MRNA0014574	3	0.00608149199270221	TcMar-Tc1	3288	5534	59.4145283700759	Prostaglandin F2 receptor negative regulator; 
ACHA01MRNA0029584	1	0.0020271639975674	TcMar-Tc1	1062	1844	57.5921908893709	Rho guanine nucleotide exchange factor 2; 
ACHA01MRNA0035078	1	0.0020271639975674	TcMar-Tc1	1912	3358	56.9386539606909	Cullin-1; 
ACHA01MRNA0036385	1	0.0020271639975674	TcMar-Tc1	1565	2800	55.8928571428571	Interferon alpha/beta receptor 2; 
ACHA01MRNA0030758	2	0.00405432799513481	TcMar-Tc1	1805	3288	54.8965936739659	Neurofibromin; 
ACHA01MRNA0038540	3	0.00608149199270221	TcMar-Tc1	1036	1901	54.497632824829	Ubiquitin carboxyl-terminal hydrolase 38; 
ACHA01MRNA0000690	3	0.00608149199270221	TcMar-Tc1	1727	3178	54.3423536815607	Cortactin-binding protein 2; 
ACHA01MRNA0017305	3	0.00608149199270221	TcMar-Tc1	5373	10038	53.5265989240885	Isthmin-2; 
ACHA01MRNA0039284	1	0.0020271639975674	TcMar-Tc1	1146	2166	52.9085872576177	Ras-related protein Rab-3B; 
ACHA01MRNA0033538	2	0.00405432799513481	TcMar-Tc1	1634	3167	51.5945689927376	Tyrosine-protein kinase TXK; 
ACHA01MRNA0037111	2	0.00405432799513481	TcMar-Tc1	1431	2784	51.4008620689655	Interferon-induced protein 44; 
ACHA01MRNA0025009	3	0.00608149199270221	TcMar-Tc1	2602	5113	50.8898885194602	Mucosal pentraxin; 
ACHA01MRNA0019235	3	0.00608149199270221	TcMar-Tc1	3054	6031	50.6383684297795	Elongin-C; 
ACHA01MRNA0021874	1	0.0020271639975674	TcMar-Tc1	1373	2739	50.1277838627236	Probable translation initiation factor IF-2; 
ACHA01MRNA0024250	4	0.00810865599026961	TcMar-Tc1	936	1887	49.6025437201908	Uncharacterized protein 005R; 
ACHA01MRNA0026074	2	0.00405432799513481	TcMar-Tc1	523	1056	49.5265151515151	Antho-RFamide neuropeptides type 2; 
ACHA01MRNA0026796	1	0.0020271639975674	TcMar-Tc1	1570	3177	49.4176896443185	Gamma-aminobutyric acid receptor-associated protein; 
ACHA01MRNA0016429	2	0.00405432799513481	TcMar-Tc1	1261	2554	49.3735317149569	Uncharacterized protein C6orf136 homolog; 
ACHA01MRNA0032443	2	0.00405432799513481	TcMar-Tc1	1156	2386	48.4492875104778	Cullin-7; 
ACHA01MRNA0014446	2	0.00405432799513481	TcMar-Tc1	1476	3047	48.4410895963243	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1; 
ACHA01MRNA0027985	5	0.010135819987837	TcMar-Tc1	3047	6322	48.1967731730465	Serine/threonine-protein kinase tousled-like 2; 
ACHA01MRNA0008700	1	0.0020271639975674	TcMar-Tc1	494	1033	47.8218780251694	NA
ACHA01MRNA0018129	2	0.00405432799513481	TcMar-Tc1	1600	3420	46.7836257309942	S-formylglutathione hydrolase; 
ACHA01MRNA0031187	2	0.00405432799513481	TcMar-Tc1	1600	3420	46.7836257309942	S-formylglutathione hydrolase; 
ACHA01MRNA0019775	2	0.00405432799513481	TcMar-Tc1	1406	3011	46.6954500166058	Sodium- and chloride-dependent GABA transporter 2; 
ACHA01MRNA0023534	2	0.00405432799513481	TcMar-Tc1	1143	2455	46.5580448065173	DnaJ homolog subfamily C member 22; 
ACHA01MRNA0037169	3	0.00608149199270221	TcMar-Tc1	2231	4820	46.2863070539419	General transcription factor II-I repeat domain-containing protein 1; 
ACHA01MRNA0003937	6	0.0121629839854044	TcMar-Tc1	3253	7043	46.187704103365	Calpain-3; 
ACHA01MRNA0036664	3	0.00608149199270221	TcMar-Tc1	6385	13886	45.9815641653464	Transmembrane protein 116; 
ACHA01MRNA0001732	6	0.0121629839854044	TcMar-Tc1	3061	6696	45.7138590203106	Serine/threonine-protein kinase ULK3; 
ACHA01MRNA0016492	1	0.0020271639975674	TcMar-Tc1	886	1981	44.7248864209995	Calcium/calmodulin-dependent protein kinase type II delta chain; 
ACHA01MRNA0017723	2	0.00405432799513481	TcMar-Tc1	793	1784	44.4506726457399	Sterile alpha motif domain-containing protein 14; 
ACHA01MRNA0021567	1	0.0020271639975674	TcMar-Tc1	1587	3613	43.9247163022419	Dynactin subunit 5; 
ACHA01MRNA0011763	1	0.0020271639975674	TcMar-Tc1	980	2267	43.228936921041	Importin-8; 
ACHA01MRNA0008362	3	0.00608149199270221	TcMar-Tc1	1510	3571	42.2850742089051	WD repeat-containing protein 34; 
ACHA01MRNA0032755	1	0.0020271639975674	TcMar-Tc1	1597	3823	41.7734763274915	Integrator complex subunit 10; 
ACHA01MRNA0010309	1	0.0020271639975674	TcMar-Tc1	2850	6855	41.5754923413567	Phosphofurin acidic cluster sorting protein 2; 
ACHA01MRNA0033471	5	0.010135819987837	TcMar-Tc1	3066	7461	41.0936871733012	Putative endoplasmic reticulum metallopeptidase 1-B; 
ACHA01MRNA0026814	1	0.0020271639975674	TcMar-Tc1	840	2050	40.9756097560976	Low-density lipoprotein receptor; 
ACHA01MRNA0038450	5	0.010135819987837	TcMar-Tc1	3105	7597	40.8713966039226	Drainin; 
ACHA01MRNA0039021	7	0.0141901479829718	TcMar-Tc1	546	1336	40.8682634730539	S-antigen protein; 
ACHA01MRNA0001194	1	0.0020271639975674	TcMar-Tc1	1540	3781	40.7299656175615	Chromodomain-helicase-DNA-binding protein 8; 
ACHA01MRNA0028063	3	0.00608149199270221	TcMar-Tc1	576	1417	40.6492589978829	S-antigen protein; 
ACHA01MRNA0003801	8	0.0162173119805392	TcMar-Tc1	3736	9201	40.6042821432453	Receptor-interacting serine/threonine-protein kinase 3; 
ACHA01MRNA0006467	1	0.0020271639975674	TcMar-Tc1	1160	2864	40.5027932960894	Cis-aconitate decarboxylase; 
ACHA01MRNA0015350	1	0.0020271639975674	TcMar-Tc1	1536	3796	40.463645943098	Inhibitor of nuclear factor kappa-B kinase-interacting protein; 
ACHA01MRNA0013180	2	0.00405432799513481	TcMar-Tc1	1132	2799	40.4430153626295	Cell division cycle-associated protein 4; 
ACHA01MRNA0002426	3	0.00608149199270221	TcMar-Tc1	1944	4809	40.4242046163444	Protein Hook homolog 1; 
ACHA01MRNA0033791	4	0.00810865599026961	TcMar-Tc1	3207	7962	40.2788244159759	AP-1 complex subunit gamma-like 2; 
ACHA01MRNA0028177	1	0.0020271639975674	TcMar-Tc1	1502	3735	40.2141900937082	ADP-ribosylation factor-binding protein GGA3; 
ACHA01MRNA0000283	3	0.00608149199270221	TcMar-Tc1	1753	4371	40.1052390757264	Prestin; 
