ID	count	% overlapping fragments on this gene	TE superfamily	NBPS	gene length	percOfGeneLengthOverlappingTEsuperfam	Products
ACHA01MRNA0001679	12	0.0542544533863821	Rex-Babar	996	376	264.893617021277	Epsin-1; 
ACHA01MRNA0032628	12	0.0542544533863821	Rex-Babar	996	376	264.893617021277	Epsin-1; 
ACHA01MRNA0032608	13	0.0587756578352473	Rex-Babar	1217	461	263.991323210412	NA
ACHA01MRNA0002450	11	0.049733248937517	Rex-Babar	913	349	261.604584527221	Epsin-1; 
ACHA01MRNA0000358	10	0.0452120444886518	Rex-Babar	830	336	247.02380952381	Cornifin alpha; 
ACHA01MRNA0030957	9	0.0406908400397866	Rex-Babar	747	304	245.723684210526	Epsin-1; 
ACHA01MRNA0001332	14	0.0632968622841125	Rex-Babar	1153	553	208.499095840868	Epsin-1; 
ACHA01MRNA0021933	3	0.0135636133465955	Rex-Babar	1613	1716	93.997668997669	Mitochondrial glutamate carrier 1; 
ACHA01MRNA0014108	104	0.470205262681978	Rex-Babar	4944	6159	80.2727715538237	C-type lectin domain family 4 member G; 
ACHA01MRNA0036565	1	0.00452120444886518	Rex-Babar	1755	2996	58.5781041388518	LIM domain-binding protein 3; 
ACHA01MRNA0021046	1	0.00452120444886518	Rex-Babar	3294	5696	57.8300561797753	Coiled-coil alpha-helical rod protein 1; 
ACHA01MRNA0034451	32	0.144678542363686	Rex-Babar	6256	10870	57.5528978840846	NA
ACHA01MRNA0035398	3	0.0135636133465955	Rex-Babar	1825	3208	56.8890274314214	Alpha-tectorin; 
ACHA01MRNA0018573	1	0.00452120444886518	Rex-Babar	2986	5391	55.3886106473753	Cerebellin-1; 
ACHA01MRNA0028581	5	0.0226060222443259	Rex-Babar	1493	2762	54.0550325850833	Ras-related protein Ral-a; 
ACHA01MRNA0018161	5	0.0226060222443259	Rex-Babar	5118	9676	52.8937577511368	Inhibitor of Bruton tyrosine kinase; 
ACHA01MRNA0020238	1	0.00452120444886518	Rex-Babar	3280	6245	52.5220176140913	Centrosomal protein of 83 kDa; 
ACHA01MRNA0017107	12	0.0542544533863821	Rex-Babar	4030	7771	51.8594775447175	Patatin-like phospholipase domain-containing protein 7; 
ACHA01MRNA0026954	95	0.429514422642192	Rex-Babar	3791	7351	51.5712148007074	Nuclear factor 1 C-type; 
ACHA01MRNA0007272	1	0.00452120444886518	Rex-Babar	3055	5962	51.2411942301241	Proteinase-activated receptor 2; 
ACHA01MRNA0024249	2	0.00904240889773036	Rex-Babar	502	980	51.2244897959184	Membrane-associated phosphatidylinositol transfer protein 3; 
ACHA01MRNA0009066	4	0.0180848177954607	Rex-Babar	1086	2174	49.9540018399264	Homeobox protein MSH-D; 
ACHA01MRNA0032302	2	0.00904240889773036	Rex-Babar	702	1408	49.8579545454545	DEAD-box ATP-dependent RNA helicase 1; 
ACHA01MRNA0024365	1	0.00452120444886518	Rex-Babar	2773	5710	48.5639229422067	Protein FAM83E; 
ACHA01MRNA0031438	30	0.135636133465955	Rex-Babar	4626	9544	48.4702430846605	MARVEL domain-containing protein 3; 
ACHA01MRNA0034929	6	0.0271272266931911	Rex-Babar	2117	4462	47.4450918870462	NA
ACHA01MRNA0010885	95	0.429514422642192	Rex-Babar	9084	19503	46.5774496231349	Leukocyte elastase inhibitor; 
ACHA01MRNA0003603	4	0.0180848177954607	Rex-Babar	1026	2231	45.988346033169	NA
ACHA01MRNA0005553	1	0.00452120444886518	Rex-Babar	2604	5678	45.8612187389926	NA
ACHA01MRNA0038395	1	0.00452120444886518	Rex-Babar	2044	4468	45.7475380483438	Serine/threonine-protein kinase TAO3; 
ACHA01MRNA0037449	4	0.0180848177954607	Rex-Babar	1490	3273	45.5239841124351	Protein groucho-1; 
ACHA01MRNA0014183	3	0.0135636133465955	Rex-Babar	2879	6606	43.5815924916742	Retinol dehydrogenase 12; 
ACHA01MRNA0010417	2	0.00904240889773036	Rex-Babar	3496	8083	43.2512680935296	GTPase IMAP family member 4; 
ACHA01MRNA0031223	1	0.00452120444886518	Rex-Babar	1199	2890	41.4878892733564	Multidrug resistance-associated protein 4; 
ACHA01MRNA0010955	1	0.00452120444886518	Rex-Babar	838	2020	41.4851485148515	G2/M phase-specific E3 ubiquitin-protein ligase; 
ACHA01MRNA0013068	1	0.00452120444886518	Rex-Babar	833	2014	41.3604766633565	G2/M phase-specific E3 ubiquitin-protein ligase; 
ACHA01MRNA0029701	1	0.00452120444886518	Rex-Babar	1578	3888	40.5864197530864	Bestrophin homolog 5; 
ACHA01MRNA0009810	1	0.00452120444886518	Rex-Babar	887	2211	40.1175938489371	Fibronectin; 
ACHA01MRNA0031856	1	0.00452120444886518	Rex-Babar	1458	3666	39.7708674304419	Transmembrane protein 184A; 
ACHA01MRNA0025216	1	0.00452120444886518	Rex-Babar	1368	3462	39.5147313691508	Sialic acid-binding Ig-like lectin 13; 
ACHA01MRNA0014144	2	0.00904240889773036	Rex-Babar	1141	2909	39.2231007218976	Myocyte-specific enhancer factor 2C; 
ACHA01MRNA0009330	3	0.0135636133465955	Rex-Babar	2932	7502	39.0829112236737	60 kDa SS-A/Ro ribonucleoprotein; 
ACHA01MRNA0033841	1	0.00452120444886518	Rex-Babar	815	2100	38.8095238095238	Protein FAM186A; 
ACHA01MRNA0029894	2	0.00904240889773036	Rex-Babar	1821	4711	38.6542135427722	NA
ACHA01MRNA0028862	4	0.0180848177954607	Rex-Babar	1564	4052	38.5982230997039	tRNA-splicing endonuclease subunit Sen2-1; 
ACHA01MRNA0014236	2	0.00904240889773036	Rex-Babar	3342	8672	38.5378228782288	Lysine-specific demethylase 4A; 
ACHA01MRNA0023063	1	0.00452120444886518	Rex-Babar	1643	4271	38.4687426832124	Sodium- and chloride-dependent taurine transporter; 
ACHA01MRNA0011752	1	0.00452120444886518	Rex-Babar	941	2478	37.9741727199354	Peptidyl-prolyl cis-trans isomerase-like 1; 
ACHA01MRNA0010786	2	0.00904240889773036	Rex-Babar	2676	7081	37.7912724191498	Tensin-4; 
ACHA01MRNA0030921	2	0.00904240889773036	Rex-Babar	696	1843	37.7645143787303	DNA-directed RNA polymerase II subunit rpb3; 
ACHA01MRNA0003545	1	0.00452120444886518	Rex-Babar	1070	2854	37.4912403644008	Protein phosphatase 1 regulatory subunit 12C; 
