ID	count	% overlapping fragments on this gene	TE superfamily	NBPS	gene length	percOfGeneLengthOverlappingTEsuperfam	Products
ACHA01MRNA0029866	2	0.0296515937731653	MIR	571	820	69.6341463414634	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1; 
ACHA01MRNA0002454	1	0.0148257968865827	MIR	742	1649	44.9969678593087	Interferon-induced protein 44; 
ACHA01MRNA0020363	1	0.0148257968865827	MIR	743	1823	40.7569939659901	Leucyl-cystinyl aminopeptidase; 
ACHA01MRNA0035464	1	0.0148257968865827	MIR	738	1947	37.904468412943	SH3-containing GRB2-like protein 3-interacting protein 1; 
ACHA01MRNA0001913	1	0.0148257968865827	MIR	768	2199	34.924965893588	Voltage-dependent calcium channel gamma-1 subunit; 
ACHA01MRNA0017204	2	0.0296515937731653	MIR	332	990	33.5353535353535	Putative sodium-coupled neutral amino acid transporter 7; 
ACHA01MRNA0027894	4	0.0593031875463306	MIR	669	2029	32.971907343519	Transitional endoplasmic reticulum ATPase homolog 1; 
ACHA01MRNA0003949	1	0.0148257968865827	MIR	821	2498	32.8662930344275	Juvenile hormone epoxide hydrolase; 
ACHA01MRNA0014779	6	0.0889547813194959	MIR	774	2457	31.5018315018315	Polyadenylate-binding protein 1; 
ACHA01MRNA0024197	5	0.0741289844329133	MIR	498	1737	28.6701208981002	Gap junction epsilon-1 protein; 
ACHA01MRNA0005842	1	0.0148257968865827	MIR	728	2599	28.0107733743748	snRNA-activating protein complex subunit 1; 
ACHA01MRNA0001163	1	0.0148257968865827	MIR	736	2641	27.8682317304051	Lysosomal Pro-X carboxypeptidase; 
ACHA01MRNA0033760	2	0.0296515937731653	MIR	338	1286	26.2830482115086	Putative hexokinase HKDC1; 
ACHA01MRNA0019942	2	0.0296515937731653	MIR	1089	4197	25.9471050750536	Myotubularin-related protein 10; 
ACHA01MRNA0011904	1	0.0148257968865827	MIR	732	2835	25.8201058201058	Otopetrin-1; 
ACHA01MRNA0039579	1	0.0148257968865827	MIR	768	3019	25.4388870486916	Trafficking protein particle complex subunit 6B >lcl|Q32L78.1 RecName: Full=Trafficking protein particle complex subunit 6B; 
ACHA01MRNA0023159	1	0.0148257968865827	MIR	596	2373	25.1158870627897	T-complex protein 1 subunit zeta; 
ACHA01MRNA0016056	2	0.0296515937731653	MIR	800	3256	24.5700245700246	Plexin-D1; 
ACHA01MRNA0031822	1	0.0148257968865827	MIR	770	3177	24.2367012905257	Probable Xaa-Pro aminopeptidase pepP; 
ACHA01MRNA0005142	2	0.0296515937731653	MIR	532	2196	24.2258652094718	Golgi SNAP receptor complex member 1; 
ACHA01MRNA0038701	1	0.0148257968865827	MIR	616	2577	23.9037640667443	Acetolactate synthase-like protein; 
ACHA01MRNA0015753	1	0.0148257968865827	MIR	778	3504	22.203196347032	DNA-binding protein Ikaros; 
ACHA01MRNA0027536	1	0.0148257968865827	MIR	802	3666	21.8767048554283	Mitochondrial folate transporter/carrier; 
ACHA01MRNA0036754	1	0.0148257968865827	MIR	746	3414	21.8512009373169	Protein Dr1; 
ACHA01MRNA0003082	1	0.0148257968865827	MIR	741	3409	21.7365796421238	Protein Dr1; 
ACHA01MRNA0005489	1	0.0148257968865827	MIR	813	3758	21.6338477913784	DnaJ homolog subfamily C member 27-B; 
ACHA01MRNA0037812	1	0.0148257968865827	MIR	713	3303	21.5864365728126	G patch domain-containing protein 2; 
ACHA01MRNA0022060	1	0.0148257968865827	MIR	269	1262	21.3153724247227	DNA replication ATP-dependent helicase/nuclease DNA2; 
ACHA01MRNA0013693	2	0.0296515937731653	MIR	884	4177	21.1635144840795	Probable E3 ubiquitin-protein ligase HERC1; 
ACHA01MRNA0006912	1	0.0148257968865827	MIR	797	3770	21.1405835543767	Juvenile hormone epoxide hydrolase; 
ACHA01MRNA0012272	2	0.0296515937731653	MIR	1569	7509	20.8949260886936	Serine/threonine-protein kinase/endoribonuclease IRE2; 
ACHA01MRNA0002113	1	0.0148257968865827	MIR	752	3601	20.8830880311025	Asparagine synthetase domain-containing protein C4F6.11c; 
ACHA01MRNA0029566	1	0.0148257968865827	MIR	762	3683	20.6896551724138	WD repeat-containing protein 34; 
ACHA01MRNA0035997	2	0.0296515937731653	MIR	591	2864	20.6354748603352	Protein arginine N-methyltransferase 1-B; 
ACHA01MRNA0002911	1	0.0148257968865827	MIR	732	3616	20.2433628318584	Exosome complex component rrp43; 
ACHA01MRNA0034323	2	0.0296515937731653	MIR	1534	7595	20.1974983541804	WAS/WASL-interacting protein family member 3; 
ACHA01MRNA0033375	1	0.0148257968865827	MIR	794	3979	19.9547625031415	Visual system homeobox 2; 
ACHA01MRNA0023420	1	0.0148257968865827	MIR	820	4137	19.8211264201112	Volume-regulated anion channel subunit LRRC8C; 
ACHA01MRNA0026797	2	0.0296515937731653	MIR	1136	5781	19.6505794845182	C-type lectin domain family 4 member C; 
ACHA01MRNA0007574	2	0.0296515937731653	MIR	408	2097	19.4563662374821	Delta-1-pyrroline-5-carboxylate synthase; 
ACHA01MRNA0019572	1	0.0148257968865827	MIR	749	3877	19.3190611297395	Leucine-rich repeat-containing protein 40; 
ACHA01MRNA0037757	4	0.0593031875463306	MIR	773	4040	19.1336633663366	Hyaluronan synthase 3; 
ACHA01MRNA0001309	1	0.0148257968865827	MIR	338	1776	19.0315315315315	Ubiquitin-associated protein 2-like; 
ACHA01MRNA0016406	1	0.0148257968865827	MIR	729	3836	19.0041710114703	Transmembrane protein 245; 
ACHA01MRNA0019824	1	0.0148257968865827	MIR	749	3999	18.7296824206052	HEPACAM family member 2; 
ACHA01MRNA0019435	2	0.0296515937731653	MIR	346	1861	18.5921547555078	Matrix metalloproteinase-23; 
ACHA01MRNA0021671	1	0.0148257968865827	MIR	758	4088	18.5420743639922	Leucine zipper transcription factor-like protein 1; 
ACHA01MRNA0013105	1	0.0148257968865827	MIR	530	2876	18.4283727399166	Cip1-interacting zinc finger protein; 
ACHA01MRNA0033419	2	0.0296515937731653	MIR	790	4303	18.3592842203114	Exosome complex component rrp43; 
ACHA01MRNA0022970	1	0.0148257968865827	MIR	297	1618	18.3559950556242	C-type lectin 1; 
ACHA01MRNA0026895	1	0.0148257968865827	MIR	765	4216	18.1451612903226	Tumor necrosis factor receptor superfamily member 10B; 
ACHA01MRNA0022087	1	0.0148257968865827	MIR	780	4311	18.0932498260264	E-selectin; 
ACHA01MRNA0009175	1	0.0148257968865827	MIR	763	4225	18.0591715976331	Protein lifeguard 2; 
ACHA01MRNA0000758	1	0.0148257968865827	MIR	746	4154	17.9585941261435	Telokin; 
ACHA01MRNA0006606	1	0.0148257968865827	MIR	706	3979	17.7431515456145	Protein THEMIS3; 
ACHA01MRNA0004101	2	0.0296515937731653	MIR	378	2133	17.7215189873418	Endothelin-2; 
ACHA01MRNA0016178	2	0.0296515937731653	MIR	577	3256	17.7211302211302	DET1- and DDB1-associated protein 1; 
