ID	count	% overlapping fragments on this gene	TE superfamily	NBPS	gene length	percOfGeneLengthOverlappingTEsuperfam	Products
ACHA01MRNA0017680	19	0.101854830063257	RTE-BovB	2299	468	491.239316239316	Neurofilament heavy polypeptide; 
ACHA01MRNA0017424	15	0.0804117079446767	RTE-BovB	1815	381	476.377952755906	Neurofilament heavy polypeptide; 
ACHA01MRNA0004555	13	0.0696901468853865	RTE-BovB	1573	345	455.942028985507	Neurofilament heavy polypeptide; 
ACHA01MRNA0004871	24	0.128658732711483	RTE-BovB	4088	955	428.062827225131	Putative uncharacterized protein ENSP00000383309; 
ACHA01MRNA0000182	12	0.0643293663557414	RTE-BovB	1452	345	420.869565217391	Neurofilament heavy polypeptide; 
ACHA01MRNA0031475	12	0.0643293663557414	RTE-BovB	1452	345	420.869565217391	Neurofilament heavy polypeptide; 
ACHA01MRNA0032421	12	0.0643293663557414	RTE-BovB	1452	345	420.869565217391	Neurofilament heavy polypeptide; 
ACHA01MRNA0026956	13	0.0696901468853865	RTE-BovB	1573	381	412.860892388451	30S ribosomal protein S6; 
ACHA01MRNA0000166	10	0.0536078052964512	RTE-BovB	1210	309	391.585760517799	Neurofilament heavy polypeptide; 
ACHA01MRNA0000256	10	0.0536078052964512	RTE-BovB	1210	312	387.820512820513	Neurofilament heavy polypeptide; 
ACHA01MRNA0026989	10	0.0536078052964512	RTE-BovB	1210	345	350.724637681159	Neurofilament heavy polypeptide; 
ACHA01MRNA0032278	15	0.0804117079446767	RTE-BovB	1815	543	334.254143646409	Repetin; 
ACHA01MRNA0029853	11	0.0589685858260963	RTE-BovB	1272	391	325.319693094629	Uncharacterized protein YdhT; 
ACHA01MRNA0000340	50	0.268039026482256	RTE-BovB	4750	1587	299.306868304978	Mucin-22; 
ACHA01MRNA0038913	10	0.0536078052964512	RTE-BovB	1210	417	290.167865707434	Repetin; 
ACHA01MRNA0022534	26	0.139380293770773	RTE-BovB	6240	2230	279.820627802691	NA
ACHA01MRNA0016679	22	0.117937171652193	RTE-BovB	1927	705	273.333333333333	Putative uncharacterized protein ENSP00000383309; 
ACHA01MRNA0007888	19	0.101854830063257	RTE-BovB	1816	691	262.807525325615	Variable charge X-linked protein 1; 
ACHA01MRNA0024742	16	0.0857724884743219	RTE-BovB	1472	570	258.245614035088	Eukaryotic translation initiation factor 3 subunit A; 
ACHA01MRNA0014405	13	0.0696901468853865	RTE-BovB	1234	480	257.083333333333	Eukaryotic translation initiation factor 3 subunit A; 
