ID	count	% overlapping fragments on this gene	TE superfamily	NBPS	gene length	percOfGeneLengthOverlappingTEsuperfam	Products
ACHA01MRNA0035078	125	0.169466249101829	TcMar-Tc1	10921	3358	325.223347230494	Cullin-1; 
ACHA01MRNA0017305	376	0.509754477298301	TcMar-Tc1	32249	10038	321.269177126918	Isthmin-2; 
ACHA01MRNA0023359	126	0.170821979094644	TcMar-Tc1	16632	5619	295.995728777363	G2/mitotic-specific cyclin-B3; 
ACHA01MRNA0014574	179	0.242675668713819	TcMar-Tc1	15044	5534	271.846765449946	Prostaglandin F2 receptor negative regulator; 
ACHA01MRNA0008600	90	0.122015699353317	TcMar-Tc1	11880	4701	252.71218889598	G2/mitotic-specific cyclin-B3; 
ACHA01MRNA0022080	25	0.0338932498203658	TcMar-Tc1	4612	1842	250.380021715527	Uncharacterized protein DDB_G0290685; 
ACHA01MRNA0003220	22	0.0298260598419219	TcMar-Tc1	5644	2580	218.759689922481	Probable ubiquitin-conjugating enzyme E2 R521; 
ACHA01MRNA0024822	9	0.0122015699353317	TcMar-Tc1	1643	806	203.846153846154	Ribosome-binding protein 1; 
ACHA01MRNA0034061	70	0.0949010994970242	TcMar-Tc1	5019	2561	195.978133541585	NA
ACHA01MRNA0001527	55	0.0745651496048047	TcMar-Tc1	3936	2017	195.14129895885	S-antigen protein; 
ACHA01MRNA0018671	49	0.0664307696479169	TcMar-Tc1	3515	1818	193.344334433443	Enterin neuropeptides; 
ACHA01MRNA0037094	80	0.10845839942517	TcMar-Tc1	5681	2952	192.445799457995	Prestalk protein; 
ACHA01MRNA0005297	61	0.0826995295616925	TcMar-Tc1	4346	2268	191.622574955908	NA
ACHA01MRNA0010309	151	0.204715228915009	TcMar-Tc1	13118	6855	191.363967906637	Phosphofurin acidic cluster sorting protein 2; 
ACHA01MRNA0018672	36	0.0488062797413267	TcMar-Tc1	2585	1351	191.339748334567	S-antigen protein; 
ACHA01MRNA0035449	43	0.0582963896910291	TcMar-Tc1	3089	1617	191.032776747062	S-antigen protein; 
ACHA01MRNA0022351	32	0.0433833597700682	TcMar-Tc1	2295	1207	190.140845070423	Seminal vesicle major clotting proteins; 
ACHA01MRNA0014568	39	0.0528734697197706	TcMar-Tc1	2778	1476	188.211382113821	Seminal vesicle major clotting proteins; 
ACHA01MRNA0023861	77	0.104391209446727	TcMar-Tc1	5506	2929	187.982246500512	Prestalk protein; 
ACHA01MRNA0036299	32	0.0433833597700682	TcMar-Tc1	2297	1224	187.66339869281	Enterin neuropeptides; 
ACHA01MRNA0001909	35	0.0474505497485121	TcMar-Tc1	2498	1332	187.537537537538	Enterin neuropeptides; 
ACHA01MRNA0022352	26	0.0352489798131804	TcMar-Tc1	1850	990	186.868686868687	Enterin neuropeptides; 
ACHA01MRNA0029506	17	0.0230474098778487	TcMar-Tc1	1216	653	186.217457886677	Enterin neuropeptides; 
ACHA01MRNA0010177	31	0.0420276297772536	TcMar-Tc1	2211	1188	186.111111111111	Enterin neuropeptides; 
ACHA01MRNA0012175	16	0.0216916798850341	TcMar-Tc1	1145	617	185.575364667747	Enterin neuropeptides; 
ACHA01MRNA0026370	29	0.0393161697916243	TcMar-Tc1	2063	1116	184.856630824373	Enterin neuropeptides; 
ACHA01MRNA0033555	24	0.0325375198275511	TcMar-Tc1	1724	936	184.188034188034	Enterin neuropeptides; 
ACHA01MRNA0001191	51	0.0691422296335462	TcMar-Tc1	3631	1976	183.755060728745	NA
ACHA01MRNA0035099	23	0.0311817898347365	TcMar-Tc1	1651	900	183.444444444444	Enterin neuropeptides; 
ACHA01MRNA0031639	55	0.0745651496048047	TcMar-Tc1	3914	2138	183.068288119738	Seminal vesicle major clotting proteins; 
ACHA01MRNA0017066	22	0.0298260598419219	TcMar-Tc1	1579	864	182.75462962963	Enterin neuropeptides; 
ACHA01MRNA0021764	12	0.0162687599137756	TcMar-Tc1	2272	1246	182.343499197432	Zinc finger protein 93; 
ACHA01MRNA0010179	27	0.036604709805995	TcMar-Tc1	1943	1068	181.928838951311	Enterin neuropeptides; 
ACHA01MRNA0028173	21	0.0284703298491073	TcMar-Tc1	1503	828	181.521739130435	Enterin neuropeptides; 
ACHA01MRNA0010449	22	0.0298260598419219	TcMar-Tc1	1565	864	181.134259259259	Enterin neuropeptides; 
ACHA01MRNA0035102	29	0.0393161697916243	TcMar-Tc1	2079	1148	181.09756097561	Enterin neuropeptides; 
ACHA01MRNA0010182	30	0.0406718997844389	TcMar-Tc1	2144	1184	181.081081081081	Enterin neuropeptides; 
ACHA01MRNA0011600	19	0.025758869863478	TcMar-Tc1	1366	756	180.687830687831	Enterin neuropeptides; 
ACHA01MRNA0023863	12	0.0162687599137756	TcMar-Tc1	853	473	180.338266384778	Enterin neuropeptides; 
ACHA01MRNA0039823	17	0.0230474098778487	TcMar-Tc1	1186	661	179.425113464448	Enterin neuropeptides; 
ACHA01MRNA0010450	19	0.025758869863478	TcMar-Tc1	1352	756	178.835978835979	Enterin neuropeptides; 
ACHA01MRNA0018878	13	0.0176244899065902	TcMar-Tc1	933	523	178.393881453155	Serine/arginine repetitive matrix protein 5; 
ACHA01MRNA0031031	48	0.0650750396551023	TcMar-Tc1	3435	1930	177.979274611399	S-antigen protein; 
ACHA01MRNA0011601	16	0.0216916798850341	TcMar-Tc1	1150	648	177.469135802469	Enterin neuropeptides; 
ACHA01MRNA0037965	16	0.0216916798850341	TcMar-Tc1	1149	648	177.314814814815	Enterin neuropeptides; 
ACHA01MRNA0018460	19	0.025758869863478	TcMar-Tc1	1364	772	176.683937823834	Enterin neuropeptides; 
ACHA01MRNA0023573	16	0.0216916798850341	TcMar-Tc1	1142	648	176.234567901235	Enterin neuropeptides; 
ACHA01MRNA0010178	16	0.0216916798850341	TcMar-Tc1	1139	648	175.771604938272	Enterin neuropeptides; 
ACHA01MRNA0034757	26	0.0352489798131804	TcMar-Tc1	1955	1113	175.651392632525	Seminal vesicle major clotting proteins; 
ACHA01MRNA0015363	16	0.0216916798850341	TcMar-Tc1	1137	648	175.462962962963	Enterin neuropeptides; 
ACHA01MRNA0024999	32	0.0433833597700682	TcMar-Tc1	2267	1293	175.328692962104	Seminal vesicle major clotting proteins; 
ACHA01MRNA0037731	17	0.0230474098778487	TcMar-Tc1	1213	693	175.036075036075	Serine/arginine repetitive matrix protein 5; 
ACHA01MRNA0007468	47	0.0637193096622877	TcMar-Tc1	3349	1924	174.064449064449	S-antigen protein; 
ACHA01MRNA0031346	14	0.0189802198994048	TcMar-Tc1	1002	576	173.958333333333	Enterin neuropeptides; 
ACHA01MRNA0026752	45	0.0610078496766584	TcMar-Tc1	3231	1861	173.6163353036	Seminal vesicle major clotting proteins; 
ACHA01MRNA0036664	104	0.140995919252722	TcMar-Tc1	24044	13886	173.152815785683	Transmembrane protein 116; 
ACHA01MRNA0028089	18	0.0244031398706634	TcMar-Tc1	1296	752	172.340425531915	Enterin neuropeptides; 
ACHA01MRNA0039400	13	0.0176244899065902	TcMar-Tc1	930	540	172.222222222222	Neurofilament heavy polypeptide; 
ACHA01MRNA0010540	107	0.145063109231166	TcMar-Tc1	9289	5399	172.050379699944	Palladin; 
ACHA01MRNA0037787	13	0.0176244899065902	TcMar-Tc1	928	540	171.851851851852	Enterin neuropeptides; 
ACHA01MRNA0027960	250	0.338932498203658	TcMar-Tc1	22066	12852	171.693121693122	Regulator of nonsense transcripts UPF2; 
ACHA01MRNA0031347	23	0.0311817898347365	TcMar-Tc1	1618	944	171.398305084746	Seminal vesicle major clotting proteins; 
ACHA01MRNA0012502	12	0.0162687599137756	TcMar-Tc1	859	504	170.436507936508	Enterin neuropeptides; 
ACHA01MRNA0023307	12	0.0162687599137756	TcMar-Tc1	857	504	170.039682539683	Enterin neuropeptides; 
ACHA01MRNA0034367	21	0.0284703298491073	TcMar-Tc1	1931	1137	169.832893579595	Apolipoprotein A-IV; 
ACHA01MRNA0012924	20	0.0271145998562926	TcMar-Tc1	1389	830	167.349397590361	Serine/arginine repetitive matrix protein 5; 
ACHA01MRNA0039882	11	0.0149130299209609	TcMar-Tc1	783	468	167.307692307692	Enterin neuropeptides; 
ACHA01MRNA0021078	21	0.0284703298491073	TcMar-Tc1	1491	896	166.40625	Enterin neuropeptides; 
ACHA01MRNA0037179	10	0.0135572999281463	TcMar-Tc1	715	432	165.509259259259	Enterin neuropeptides; 
ACHA01MRNA0013628	10	0.0135572999281463	TcMar-Tc1	711	432	164.583333333333	Enterin neuropeptides; 
ACHA01MRNA0015893	24	0.0325375198275511	TcMar-Tc1	1688	1036	162.934362934363	Serine/arginine repetitive matrix protein 5; 
ACHA01MRNA0012501	9	0.0122015699353317	TcMar-Tc1	642	396	162.121212121212	Enterin neuropeptides; 
ACHA01MRNA0013627	9	0.0122015699353317	TcMar-Tc1	641	396	161.868686868687	Enterin neuropeptides; 
ACHA01MRNA0020259	380	0.51517739726956	TcMar-Tc1	33438	20795	160.798268814619	NA
ACHA01MRNA0014569	15	0.0203359498922195	TcMar-Tc1	1051	656	160.213414634146	Neurofilament heavy polypeptide; 
ACHA01MRNA0031794	19	0.025758869863478	TcMar-Tc1	1355	851	159.224441833137	Serine/arginine repetitive matrix protein 5; 
ACHA01MRNA0015364	8	0.010845839942517	TcMar-Tc1	568	358	158.659217877095	Seminal vesicle major clotting proteins; 
ACHA01MRNA0040239	175	0.23725274874256	TcMar-Tc1	23075	14658	157.422567881021	Negative elongation factor B; 
ACHA01MRNA0023323	18	0.0244031398706634	TcMar-Tc1	1261	805	156.645962732919	Serine/arginine repetitive matrix protein 5; 
ACHA01MRNA0012503	7	0.00949010994970242	TcMar-Tc1	504	324	155.555555555556	Enterin neuropeptides; 
ACHA01MRNA0026357	15	0.0203359498922195	TcMar-Tc1	632	408	154.901960784314	Protein B602L; 
ACHA01MRNA0003095	7	0.00949010994970242	TcMar-Tc1	500	324	154.320987654321	Enterin neuropeptides; 
ACHA01MRNA0036556	80	0.10845839942517	TcMar-Tc1	7010	4862	144.179350061703	Probable tubulin polyglutamylase TTLL2; 
ACHA01MRNA0019118	12	0.0162687599137756	TcMar-Tc1	836	583	143.396226415094	Enterin neuropeptides; 
ACHA01MRNA0035290	18	0.0244031398706634	TcMar-Tc1	1295	904	143.252212389381	Seminal vesicle major clotting proteins; 
ACHA01MRNA0039346	7	0.00949010994970242	TcMar-Tc1	504	356	141.573033707865	Enterin neuropeptides; 
ACHA01MRNA0017065	7	0.00949010994970242	TcMar-Tc1	503	356	141.292134831461	Enterin neuropeptides; 
ACHA01MRNA0020923	12	0.0162687599137756	TcMar-Tc1	1281	936	136.858974358974	Antho-RFamide neuropeptides type 2; 
ACHA01MRNA0037780	67	0.0908339095185803	TcMar-Tc1	6019	4471	134.623126817267	Ral guanine nucleotide dissociation stimulator-like 1; 
ACHA01MRNA0022178	242	0.328086658261141	TcMar-Tc1	21164	15818	133.796940194715	Uncharacterized protein C1orf112; 
ACHA01MRNA0019557	3	0.00406718997844389	TcMar-Tc1	744	562	132.384341637011	Centromere-associated protein E; 
ACHA01MRNA0004590	147	0.199292308943751	TcMar-Tc1	12978	9945	130.497737556561	Cullin-1; 
ACHA01MRNA0037169	68	0.0921896395113949	TcMar-Tc1	6236	4820	129.377593360996	General transcription factor II-I repeat domain-containing protein 1; 
ACHA01MRNA0029584	11	0.0149130299209609	TcMar-Tc1	2367	1844	128.362255965293	Rho guanine nucleotide exchange factor 2; 
ACHA01MRNA0009859	95	0.12879434931739	TcMar-Tc1	8307	6567	126.496116948378	Calcitonin gene-related peptide type 1 receptor; 
ACHA01MRNA0036580	72	0.0976125594826534	TcMar-Tc1	15784	12889	122.461013267127	Aminopeptidase RNPEPL1; 
ACHA01MRNA0014180	226	0.306394978376107	TcMar-Tc1	20201	17001	118.822422210458	Sodium- and chloride-dependent betaine transporter; 
ACHA01MRNA0030958	9	0.0122015699353317	TcMar-Tc1	4550	3941	115.452930728242	Farnesol dehydrogenase; 
ACHA01MRNA0018203	606	0.821572375645666	TcMar-Tc1	53036	45990	115.320721896064	NA
ACHA01MRNA0022872	67	0.0908339095185803	TcMar-Tc1	5873	5177	113.44407958277	Ephrin type-B receptor 3; 
ACHA01MRNA0035475	5	0.00677864996407315	TcMar-Tc1	360	320	112.5	Enterin neuropeptides; 
ACHA01MRNA0013279	15	0.0203359498922195	TcMar-Tc1	7078	6301	112.331375972068	Aminopeptidase N; 
ACHA01MRNA0017627	2	0.00271145998562926	TcMar-Tc1	496	458	108.296943231441	Centromere-associated protein E; 
ACHA01MRNA0038144	214	0.290126218462331	TcMar-Tc1	18956	17742	106.842520572652	Nonsense-mediated mRNA decay protein 2; 
ACHA01MRNA0013663	118	0.159976139152126	TcMar-Tc1	11840	11540	102.599653379549	Cyclin-dependent kinase 17; 
ACHA01MRNA0007337	10	0.0135572999281463	TcMar-Tc1	390	390	100	PML-RARA-regulated adapter molecule 1; 
ACHA01MRNA0021663	49	0.0664307696479169	TcMar-Tc1	9323	9397	99.2125146323295	NA
ACHA01MRNA0012684	416	0.563983677010886	TcMar-Tc1	36823	37610	97.9074714171763	Retinoblastoma-related protein; 
ACHA01MRNA0034667	152	0.206070958907824	TcMar-Tc1	35504	36965	96.0476126065197	Methyl-CpG-binding domain protein 1; 
ACHA01MRNA0027801	133	0.180312089044346	TcMar-Tc1	12082	12662	95.4193650292213	Vesicle-fusing ATPase; 
ACHA01MRNA0035086	359	0.486707067420453	TcMar-Tc1	31478	33881	92.9075292937044	G-protein coupled receptor 98; 
ACHA01MRNA0012602	123	0.1667547891162	TcMar-Tc1	11017	12146	90.7047587683188	Homeobox protein Hox-B3; 
ACHA01MRNA0037111	4	0.00542291997125852	TcMar-Tc1	2510	2784	90.1580459770115	Interferon-induced protein 44; 
ACHA01MRNA0015695	158	0.214205338864712	TcMar-Tc1	14150	15806	89.5229659622928	Serine/threonine-protein kinase MARK2; 
ACHA01MRNA0002834	3	0.00406718997844389	TcMar-Tc1	744	845	88.0473372781065	Salivary glue protein Sgs-4; 
ACHA01MRNA0029811	9	0.0122015699353317	TcMar-Tc1	597	720	82.9166666666667	Uncharacterized protein C3orf30; 
ACHA01MRNA0014943	7	0.00949010994970242	TcMar-Tc1	504	610	82.6229508196721	S-antigen protein; 
ACHA01MRNA0003349	200	0.271145998562926	TcMar-Tc1	17643	21519	81.9880105952879	Solute carrier family 15 member 1; 
ACHA01MRNA0028063	16	0.0216916798850341	TcMar-Tc1	1161	1417	81.9336626676076	S-antigen protein; 
ACHA01MRNA0006467	3	0.00406718997844389	TcMar-Tc1	2272	2864	79.3296089385475	Cis-aconitate decarboxylase; 
ACHA01MRNA0008007	11	0.0149130299209609	TcMar-Tc1	799	1008	79.265873015873	Small proline-rich protein 3; 
ACHA01MRNA0002251	28	0.0379604397988097	TcMar-Tc1	2646	3382	78.2377291543465	Phospholipid-transporting ATPase IB; 
ACHA01MRNA0000280	43	0.0582963896910291	TcMar-Tc1	3872	5186	74.6625530273814	Phosphoglycerate kinase; 
ACHA01MRNA0023510	93	0.126082889331761	TcMar-Tc1	8199	11037	74.2864908942647	Adhesion G protein-coupled receptor L3; 
ACHA01MRNA0005717	13	0.0176244899065902	TcMar-Tc1	1244	1755	70.8831908831909	Uncharacterized protein C3orf30; 
ACHA01MRNA0020464	109	0.147774569216795	TcMar-Tc1	9669	13871	69.7065820777161	Protein sax-3; 
ACHA01MRNA0035359	212	0.287414758476702	TcMar-Tc1	19040	27357	69.5982746646197	Probable cleavage and polyadenylation specificity factor subunit 1; 
ACHA01MRNA0029438	95	0.12879434931739	TcMar-Tc1	8524	12653	67.3674227455939	Phosphofurin acidic cluster sorting protein 1; 
ACHA01MRNA0024295	101	0.136928729274278	TcMar-Tc1	9237	13796	66.9541896201798	Down syndrome cell adhesion molecule-like protein 1 homolog; 
